,字段名,描述,适用市场
0,list_days_0,已经上市的天数，按自然日计算,"A股,港股,美股"
1,list_board_0,上市板，主板：1，中小企业板：2，创业板：3,A股
2,company_found_date_0,公司成立天数,A股
3,st_status_0,ST状态：0：正常股票，1：ST，2：*ST，11：暂停上市,A股
4,industry_sw_level1_0,申万一级行业类别,A股
5,industry_sw_level2_0,申万二级行业类别,A股
6,industry_sw_level3_0,申万三级行业类别,A股
7,in_sse50_0,是否属于上证50指数成份,A股
8,in_csi300_0,是否属于沪深300指数成份,A股
9,in_csi500_0,是否属于中证500指数成份,A股
10,in_csi800_0,是否属于中证800指数成份,A股
11,in_sse180_0,是否属于上证180指数成份,A股
12,in_csi100_0,是否属于中证100指数成份,A股
13,in_szse100_0,是否属于深证100指数成份,A股
