,字段名,$i 取值,描述,适用市场
0,open_$i,[0 .. 20],第前i个交易日的开盘价，当天为0,"A股,基金,期货,港股,美股"
1,high_$i,[0 .. 20],第前i个交易日的最高价,"A股,基金,期货,港股,美股"
2,low_$i,[0 .. 20],第前i个交易日的最低价,"A股,基金,期货,港股,美股"
3,volume_$i,[0 .. 20],第前i个交易日的交易量,"A股,基金,期货,港股,美股"
4,adjust_factor_$i,[0 .. 20],第前i个交易日的复权因子,"A股,基金,港股,美股"
5,deal_number_$i,[0 .. 20],第前i个交易日的成交笔数,A股
6,price_limit_status_$i,[0 .. 20],第前i个交易日的股价在收盘时的涨跌停状态，1表示跌停，2表示未涨跌停，3则表示涨停,"A股,基金"
7,close_$i,[0 .. 120],第前i个交易日的收盘价,"A股,基金,期货,港股,美股"
8,daily_return_$i,"[0 .. 20]; 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 210, 240, 270, 300, 330, 360",第前i个交易日的收益，=close_i/close_(i+1),"A股,基金,期货,港股,美股"
9,return_$i,"[0 .. 20]; 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 210, 240, 270, 300, 330, 360",过去i个交易日的收益，=close_0/close_(i+1),"A股,基金,期货,港股,美股"
10,rank_return_$i,"[0 .. 20]; 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 210, 240, 270, 300, 330, 360",过去i个交易日的收益 (return_i) 排名，=从小到大排名序号/总数,"A股,基金,期货,港股,美股"
11,amount_$i,[0 .. 120],第前i个交易日的交易额,"A股,基金,期货,港股,美股"
12,rank_amount_$i,[0 .. 120],第前i个交易日的交易额百分比排名,"A股,基金,期货,港股,美股"
13,avg_amount_$i,"[0 .. 20]; 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 210, 240, 270, 300, 330, 360",过去i个交易日的平均交易额，0表示今日,"A股,基金,期货,港股,美股"
14,rank_avg_amount_$i,"[0 .. 20]; 30, 40, 50, 60, 70, 80, 90, 120, 150, 180, 210, 240, 270, 300, 330, 360",过去i个交易日的平均交易额，百分比排名,"A股,基金,期货,港股,美股"
