现金流量表字段（cash_flow_statement）	释义、备注
cash_received_from_sales_of_goods	销售商品、提供劳务收到的现金： 公司销售商品、提供劳务实际收到的现金 
refunds_of_taxes	收到的税费返还： 公司按规定收到的增值税、所得税等税费返还额 
cash_from_other_operating_activities	收到其它与经营活动有关的现金：公司除了上述各项目外，收到的其他与经营活动有关的现金，
cash_from_operating_activities	经营活动现金流入小计
cash_paid_for_goods_and_services	购买商品、接受劳务支付的现金： 公司购买商品、接受劳务实际支付的现金 
assets_depreciation_reserves	资产减值准备
fixed_asset_depreciation	固定资产折旧
intangible_asset_amortization	无形资产摊销
deferred_expense_amort	长期待摊费用摊销
cash_paid_for_employee	支付给职工以及为职工支付的现金： 公司实际支付给职工，以及为职工支付的现金，
cash_paid_for_taxes	支付的各项税费： 反映企业按规定支付的各种税费，包括本期发生并支付的税费，以及本期支付以前各期发生的税费和预交的税金等 
cash_paid_for_other_operation_activities	支付其他与经营活动有关的现金： 反映企业支付的其他与经营活动有关的现金支出，
cash_paid_for_operation_activities	经营活动现金流出小计
cash_flow_from_operating_activities	经营活动产生的现金流量净额： 指企业投资活动和筹资活动以外的所有交易活动和事项的现金流入和流出量 
cash_received_from_disposal_of_investment	收回投资所收到的现金： 公司出售、转让或到期收回除现金等价物以外的短期投资、长期股权投资而收到的现金，
cash_received_from_dividend	分得股利或利润所收到的现金： 公司因股权性投资而收到的现金股利，
cash_received_from_interest	取得债券利息收入所收到的现金： 公司因债权性投资而收到的利息 【该数据来自旧会计准则】
cash_received_from_disposal_of_asset	处置固定资产、无形资产和其他长期资产收回的现金净额： 公司处置固定资产、无形资产和其他长期资产收回的现金 
cash_received_from_other_investment_activities	收到其他与投资活动有关的现金： 公司除了上述各项以外，收到的其他与投资活动有关的现金 
cash_received_from_investment_activities	投资活动现金流入小计
cash_paid_for_asset	购建固定资产、无形资产和其他长期资产所支付的现金 
cash_paid_to_acquire_investment	投资支付的现金： 反映企业进行权益性投资和债权性投资支付的现金，
cash_paid_for_other_investment_activities	支付其他与投资活动有关的现金： 反映企业除了上述各项以外，支付的其他与投资活动有关的现金流出 
cash_paid_for_investment_activities	投资活动产生的现金流出小计
cash_flow_from_investing_activities	投资活动产生的现金流量净额：指企业长期资产的购建和对外投资活动（不包括现金等价物范围的投资）的现金流入和流出量 
cash_received_from_equity_investors	吸收权益性投资所收到的现金： 公司子公司吸收少数股东权益性投资收到的现金额 【该数据来自旧会计准则】
cash_received_from_debt_investors	发行债券所收到的现金：公司发行债券实际收到的现金(发行收入减去支付的佣金等发行费用后的净额) 【该数据来自旧会计准则】
cash_received_from_investors	吸收投资收到的现金：反映企业收到的投资者投入现金，包括以发行股票、债券等方式筹集的资金实际收到的净额 
cash_received_from_financial_institution_borrows	取得借款收到的现金： 公司向银行或其他金融机构等借入的资金 
cash_received_from_other_financing_activities	收到其他与筹资活动有关的现金：反映企业收到的其他与筹资活动有关的现金流入，如接受现金捐赠等 
cash_received_from_financing_activities	筹资活动现金流入小计
cash_paid_for_debt	偿还债务支付的现金：公司以现金偿还债务的本金，包括偿还银行或其他金融机构等的借款本金、偿还债券本金等 
cash_paid_for_dividend_and_interest	分配股利、利润或偿付利息支付的现金：反映企业实际支付给投资人的利润以及支付的借款利息、债券利息等 
cash_paid_for_other_financing_activities	支付其他与筹资活动有关的现金：反映企业支付的其他与筹资活动有关的现金流出 
cash_paid_to_financing_activities	筹资活动现金流出小计
cash_flow_from_financing_activities	筹资活动产生的现金流量净额：指企业接受投资和借入资金导致的现金流入和流出量 
net_inc_cash_and_equivalents	现金及现金等价物净增加额
