财务快报字段（须使用current_performance调取）	解释
operating_revenue	营业收入or主营业务收入(元)
gross_profit	主营业务利润(元)
operating_profit	营业利润(元)
total_profit	利润总额(元)
np_parent_owners	归属母公司净利润(元)
net_profit_cut	扣除非经常性损益后净利润(元)
net_operate_cashflow	经营活动现金流量净额(元)
total_assets	总资产(元)
se_without_minority	归属母公司股东权益(元)
total_shares	总股本(股)
basic_eps	基本每股收益
eps_weighted	每股收益(加权)(元)
eps_cut_epscut	每股收益(扣除)(元)
eps_cut_weighted	每股收益(扣除加权)(元)
roe	净资产收益率(摊薄)(%)
roe_weighted	净资产收益率(加权)(%)
roe_cut	净资产收益率(扣除摊薄)(%)
roe_cut_weighted	净资产收益率(扣除加权)(%)
net_operate_cashflow_per_share	每股经营活动现金流量净额(元)
equity_per_share	每股净资产(元)
operating_revenue_yoy	主营业务收入同比(%)
gross_profit_yoy	主营业务利润同比(%)
operating_profit_yoy	营业利润同比(%)
total_profit_yoy	利润总额同比(%)
np_parent_minority_pany_yoy	归属母公司净利润同比(%)
ne_t_minority_ty_yoy	扣除非经常性损益后净利润同比(%)
net_operate_cash_flow_yoy	经营活动现金流量净额同比(%)
total_assets_to_opening	总资产较期初比(%)
se_without_minority_to_opening	归属母公司股东权益较期初比(%)
basic_eps_yoy	每股收益(摊薄) 同比(%)
eps_weighted_yoy	每股收益(加权) 同比(%)
eps_cut_yoy	每股收益(扣除) 同比(%)
eps_cut_weighted_yoy	每股收益(扣除加权) 同比(%)
roe_yoy	净资产收益率(摊薄) 同比(%)
roe_weighted_yoy	净资产收益率(加权) 同比(%)
roe_cut_yoy	净资产收益率(扣除摊薄) 同比(%)
roe_cut_weighted_yoy	净资产收益率(扣除加权) 同比(%)
net_operate_cash_flow_per_share_yoy	每股经营活动现金流量净额同比(%)
net_asset_psto_opening	每股净资产较期初比(%)
