滚动财务指标表字段（financial_indicator_TTM）	字段名	释义
financial_expense_rateTTM	财务费用率	财务费用/营业总收入(%)。
invest_associates_inc_to_tpTTM	联营公司收益率	对联营合营公司投资收益/利润总额(%)
admin_expense_rateTTM	管理费率	管理费用/营业总收入(%)
value_change_ni_to_tpTTM	价值变动净收益率	价值变动净收益/利润总额(%)
no_cf_to_operating_niTTM	经营活动现金流净流量与经营活动净收益比	经营活动产生的现金流量净额/经营活动净收益(%)
cash_rate_of_salesTTM	经营活动现金流净流量与收入比	经营活动产生的现金流量净额/营业收入(%)
operating_mi_to_tpTTM	经营活动净收益与总利润比	经营活动净收益(TTM)／利润总额(TTM)*100%
net_profit_to_total_operating_revenueTTM	净利润率	含少数股东损益的净利润（TTM）/营业收入（TTM）*100%
return_on_equityTTM	总权益净利率	（归属于母公司的净利润（TTM）2/（期初归属于母公司的股东权益+期末归属于母公司的股东权益）100%
ebit_to_total_revenueTTM	息税前利润率	息税前利润/营业总收入(%)
operating_expense_rateTTM	经营费率	销售费用/营业总收入(%)
net_profit_ratioTTM	净利润率	销售净利率(%)
gross_income_ratioTTM	毛利润率	[营业收入（TTM）-营业成本（TTM）]/营业收入（TTM）*100%。
period_costs_rateTTM	期间费率	[营业费用（TTM）+管理费用（TTM）+财务费用（TTM）]/营业收入（TTM））*100%
sale_service_cash_to_operating_revenueTTM	主营现金流率	销售商品提供劳务收到的现金（TTM）/营业收入（TTM）*100%。
operating_profit_to_total_revenueTTM	营业利润率	营业利润（TTM）／营业总收入（TTM）*100%
net_non_operating_income_to_revenueTTM	营业外利润率	营业外收支净额/利润总额(%)
total_operating_cost_to_total_operating_revenueTTM	营业成本率	营业总成本/营业总收入(%)
asset_impair_loss_to_total_operating_revenueTTM	资产减值损失率	资产减值损失（TTM）／营业总收入（TTM）*100%
return_on_asset_ebitTTM	总资产净利率（税前）	息税前利润（TTM）/总资产（MRQ）*100%
return_on_assetTTM	总资产净利率	含少数股东损益的净利润（TTM）/总资产（MRQ）*100%, MRQ - Most Recent Quarter
operating_cashflow_per_shareTTM	每股经营活动产生的现金流量净额	直接取公司定期报告披露数据；若无披露，则，为“经营活动产生的现金流量净额/期末总股本”。
cashflow_per_shareTTM	每股现金及现金流	现金及现金等价物净增加额/期末总股本
operating_revenue_per_shareTTM	每股收入	营业总收入/该报告期期末总股本
eps_belongs_to_parentTTM	每股归属母公司净利润	归属于母公司的净利润（TTM）/期末总股本
epsTTM	每股净利润	最近四个季度净利润之和/期末股本，分母取这次调整后的股本
