滚动利润表字段（income_statement_TTM）	字段名
financial_expenseTTM	财务费用
administration_expenseTTM	行政费用
np_parent_company_ownersTTM	归属于母公司的净利润
ni_from_value_changeTTM	价值变动净收益
ni_from_operatingTTM	经营活动净收益
net_profitTTM	净利润
total_profitTTM	利润总额
gross_profitTTM	毛利
ebitTTM	息税前利润
operating_expenseTTM	经营费用
operating_costTTM	经营成本
operating_profitTTM	经营利润
operating_revenueTTM	经营收入
non_operating_net_incomeTTM	非经营性净利润
operating_payoutTTM	营业支出
total_operating_costTTM	经营总成本
total_operating_revenueTTM	经营总收入
asset_impairment_lossTTM	资产减值损失
