order_book_id,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
000001.XSHE,PAYH,MainBoard,0000-00-00,XSHE,J66,货币金融服务,1991-04-03,100.0,Financials,金融,Normal,Active,平安银行,CS
000002.XSHE,WKA,MainBoard,0000-00-00,XSHE,K70,房地产业,1991-01-29,100.0,Financials,金融,Normal,Active,万科A,CS
000004.XSHE,GNKJ,MainBoard,0000-00-00,XSHE,C27,医药制造业,1991-01-14,100.0,HealthCare,医疗保健,Normal,Active,国农科技,CS
000005.XSHE,SJXY,MainBoard,0000-00-00,XSHE,N77,生态保护和环境治理业,1990-12-10,100.0,Industrials,工业,Normal,Active,世纪星源,CS
000006.XSHE,SZYA,MainBoard,0000-00-00,XSHE,K70,房地产业,1992-04-27,100.0,Financials,金融,Normal,Active,深振业A,CS
000007.XSHE,QXH,MainBoard,0000-00-00,XSHE,K70,房地产业,1992-04-13,100.0,Financials,金融,Normal,Active,全新好,CS
000008.XSHE,SZGT,MainBoard,0000-00-00,XSHE,C37,铁路、船舶、航空航天和其他运输设备制造业,1992-05-07,100.0,Industrials,工业,Normal,Active,神州高铁,CS
000009.XSHE,ZGBA,MainBoard,0000-00-00,XSHE,S90,综合,1991-06-25,100.0,Industrials,工业,Normal,Active,中国宝安,CS
000010.XSHE,MLST,MainBoard,0000-00-00,XSHE,E48,土木工程建筑业,1995-10-27,100.0,Industrials,工业,Normal,Active,美丽生态,CS
000011.XSHE,SWYA,MainBoard,0000-00-00,XSHE,K70,房地产业,1992-03-30,100.0,Financials,金融,Normal,Active,深物业A,CS
000012.XSHE,NBA,MainBoard,0000-00-00,XSHE,C30,非金属矿物制品业,1992-02-28,100.0,Materials,原材料,Normal,Active,南玻A,CS
000014.XSHE,SHGF,MainBoard,0000-00-00,XSHE,K70,房地产业,1992-06-02,100.0,Financials,金融,Normal,Active,沙河股份,CS
000016.XSHE,SKJA,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,1992-03-27,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,深康佳A,CS
000017.XSHE,SZHA,MainBoard,0000-00-00,XSHE,C37,铁路、船舶、航空航天和其他运输设备制造业,1992-03-31,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,深中华A,CS
000018.XSHE,SZCC,MainBoard,0000-00-00,XSHE,E50,建筑装饰和其他建筑业,1992-06-16,100.0,Industrials,工业,Normal,Active,神州长城,CS
