,2018-04-12,2018-04-11,2018-04-10,2018-04-09,2018-04-04,2018-04-03,2018-04-02,2018-03-30,2018-03-29,2018-03-28,2018-03-27,2018-03-26,2018-03-23,2018-03-22,2018-03-21,2018-03-20,2018-03-19,2018-03-16,2018-03-15,2018-03-14
601228.XSHG,34743739800.0,35424989600.0,35734648600.0,36601693800.0,34867603400.0,33814762800.0,33567035600.0,33938626400.0,33814762800.0,33381240200.0,33876694600.0,32947717600.0,32823854000.0,35239194200.0,35548853200.0,35920444000.0,36415898400.0,36911352800.0,37035216400.0,37221011800.0
600552.XSHG,5238948577.0,5284971551.0,5131561637.0,5131561637.0,5116220645.0,5139232132.0,5269630560.0,5315653534.0,5231278081.0,5177584611.0,5192925602.0,5100879654.0,5047186184.0,5507415927.0,5484404440.0,5515086423.0,5507415927.0,5515086423.0,5706848816.0,5469063448.0
000062.XSHE,14332564299.0,14282072125.0,14361416970.0,14007971751.0,13640100196.0,13943053241.0,14361416970.0,14166661441.0,13863708396.0,13849282061.0,13834855725.0,13474197338.0,13474197338.0,14945683557.0,14649943680.0,14548959332.0,14700435854.0,14823059706.0,14952896725.0,15082733744.0
002254.XSHE,7250594832.0,7244486496.0,7311678192.0,7330003200.0,7348328208.0,7378869888.0,7287244848.0,7281136512.0,7268919840.0,7213944816.0,7470494928.0,7470494928.0,7336111536.0,7433844912.0,7452169920.0,7299461520.0,7354436544.0,7372761552.0,7354436544.0,7452169920.0
002809.XSHE,3474847705.0,3436085460.0,3409827165.0,3369814525.0,3466094940.0,3399824005.0,3528614690.0,3527364295.0,3426082300.0,3369814525.0,3341055440.0,3269782925.0,3251027000.0,3612391155.0,3601137600.0,3598636810.0,3546120220.0,3527364295.0,3526113900.0,3642400635.0
603278.XSHG,4016480000.0,4056000000.0,3976960000.0,3976960000.0,3858400000.0,3804320000.0,3872960000.0,3902080000.0,3883360000.0,3748160000.0,3683680000.0,3608800000.0,3594240000.0,3993600000.0,4033120000.0,4024800000.0,4118400000.0,3744000000.0,3644160000.0,3831360000.0
300640.XSHE,2021600000.0,2000000000.0,1895200000.0,1937600000.0,1892800000.0,1912000000.0,1934400000.0,1897600000.0,1896800000.0,1880800000.0,1904000000.0,1880000000.0,1871200000.0,1700800000.0,1700800000.0,1700800000.0,1700800000.0,1700800000.0,1700800000.0,1700800000.0
601100.XSHG,18849600000.0,18585000000.0,18559800000.0,18792900000.0,18799200000.0,19599300000.0,19397700000.0,19196100000.0,19051200000.0,18805500000.0,19013400000.0,18975600000.0,18490500000.0,19259100000.0,19586700000.0,19082700000.0,19681200000.0,19542600000.0,20267100000.0,20456100000.0
002086.XSHE,5914220000.0,5762926000.0,5852327000.0,5535985000.0,5646017000.0,5597878000.0,5721664000.0,5817942000.0,5721664000.0,5680402000.0,5824819000.0,5769803000.0,6409364000.0,7124572000.0,7131449000.0,7103941000.0,7234604000.0,7489053000.0,7599085000.0,7255235000.0
603167.XSHG,5016188000.0,4977676000.0,4924722000.0,4876582000.0,4905466000.0,4953606000.0,4963234000.0,4963234000.0,4958420000.0,4891024000.0,4948792000.0,4866954000.0,4818814000.0,5155794000.0,5223190000.0,5353168000.0,5256888000.0,5276144000.0,5285772000.0,5377238000.0
603338.XSHG,11700131524.0,11762055704.0,11477204475.0,11560359803.0,11560359803.0,11684208163.0,11931904884.0,11758517179.0,11788594638.0,11576283163.0,11859365130.0,11530282344.0,11199430296.0,12406067177.0,12524607751.0,12400759391.0,12147754883.0,12331758161.0,12843074963.0,12667917996.0
002802.XSHE,2840937000.0,2852855500.0,2838770000.0,2908114000.0,2787845500.0,2845271000.0,2758591000.0,2778094000.0,2723919000.0,2649157500.0,2599316500.0,2521304500.0,2520221000.0,2799764000.0,2840937000.0,2758591000.0,2766175500.0,2719585000.0,2670827500.0,2756424000.0
600293.XSHG,7809527349.0,7995468476.0,7937361874.0,7867633951.0,8018711117.0,8123303002.0,7948983195.0,8007089797.0,7960604515.0,7774663388.0,7890876592.0,7751420747.0,7821148670.0,8355729411.0,8425457334.0,8646262422.0,8797339588.0,8692747704.0,8704369025.0,8843824870.0
300107.XSHE,5161117248.0,5254061096.0,5221257385.0,5461817935.0,5237659241.0,4915089413.0,5084575255.0,5111911681.0,4969762265.0,5051771543.0,4592519585.0,4177005908.0,4084062059.0,4537846733.0,4674528863.0,4619856011.0,4576117729.0,4510510307.0,4581585014.0,4669061578.0
600318.XSHG,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5343360000.0,5411120000.0,5411120000.0,5445000000.0,5507920000.0,5672480000.0,5735400000.0
600647.XSHG,2119156267.0,2173422251.0,2140027799.0,2151159283.0,2172030816.0,2197076655.0,2265256994.0,2273605607.0,2315348672.0,2223513929.0,2290302833.0,2273605607.0,2173422251.0,2412749157.0,2515715384.0,2373788963.0,2158116461.0,2152550719.0,2195685219.0,2146984977.0
002648.XSHE,15764194145.0,16072670279.0,15583363308.0,15200427418.0,15711008605.0,15604637524.0,16040758954.0,16625799898.0,16913001815.0,16753445195.0,16881090491.0,16551340141.0,16338597980.0,17657599380.0,18061809486.0,18019261054.0,17817156001.0,18178817675.0,18721310186.0,18402196944.0
300378.XSHE,4155946105.0,4068591824.0,4039473730.0,4129475111.0,4087121520.0,4235359088.0,4394185054.0,4238006187.0,4013002736.0,3941531051.0,3991825940.0,3785352185.0,3607996523.0,4007708537.0,3954766548.0,4161240304.0,4171828702.0,4105651216.0,4267124281.0,4092415719.0
603036.XSHG,3237491200.0,3302566400.0,3202920000.0,3227323200.0,3290364800.0,3379843200.0,3219188800.0,3202920000.0,3156147200.0,2869409600.0,2859241600.0,2806368000.0,2792132800.0,3097172800.0,3115475200.0,3030064000.0,2981257600.0,2897880000.0,2883644800.0,3001593600.0
603960.XSHG,3395600000.0,3398720000.0,3398720000.0,3456960000.0,3348800000.0,3423680000.0,3472560000.0,3321760000.0,3069040000.0,3023280000.0,2966080000.0,2811120000.0,2742480000.0,2838160000.0,2891200000.0,2935920000.0,2973360000.0,2917200000.0,2908880000.0,3088800000.0
002504.XSHE,3703139888.0,3692881883.0,3692881883.0,3621075846.0,3600559836.0,3600559836.0,3610817841.0,3580043825.0,3569785820.0,3497979783.0,3333851700.0,3241529653.0,3303077684.0,3477463773.0,3497979783.0,3569785820.0,3580043825.0,3549269810.0,3539011804.0,3621075846.0
603909.XSHG,3020675000.0,2969425000.0,2925350000.0,2956100000.0,3023750000.0,2968400000.0,2991975000.0,2989925000.0,2897675000.0,2873075000.0,2901775000.0,2842325000.0,2901775000.0,3004275000.0,3023750000.0,3022725000.0,2990950000.0,2981725000.0,3036050000.0,3067825000.0
600389.XSHG,5209380000.0,5378670000.0,5331150000.0,5203440000.0,5245020000.0,5265810000.0,5536080000.0,5509350000.0,5562810000.0,5414310000.0,5429160000.0,5313330000.0,5259870000.0,5637060000.0,5610330000.0,5530140000.0,5536080000.0,5536080000.0,5628150000.0,5604390000.0
600506.XSHG,2016198816.0,2067896222.0,2066419153.0,2138795521.0,2174245171.0,2103345872.0,2162428621.0,2110731215.0,2118116559.0,2107777078.0,2190492927.0,2175722239.0,2327860318.0,2233327920.0,2256961019.0,2268777569.0,2218557232.0,2212648958.0,2236282057.0,2191969995.0
300238.XSHE,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0,5016745863.0
600157.XSHG,28952103110.0,29200619016.0,30443198549.0,33798163287.0,37525901885.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0,41750672295.0
601088.XSHG,410720662396.0,417085340941.0,417483133350.0,403560399032.0,400974748373.0,403560399032.0,414499690282.0,414698586487.0,420267680214.0,412510728237.0,422455538464.0,418875406782.0,441151781692.0,441947366510.0,442146262715.0,442146262715.0,437173857601.0,461836986965.0,468997250329.0,467207184488.0
002915.XSHE,4415040000.0,4630080000.0,4794720000.0,5108320000.0,4643520000.0,4410560000.0,4242560000.0,4038720000.0,3995040000.0,3937920000.0,3894240000.0,3810240000.0,3741920000.0,4144000000.0,4039840000.0,4250400000.0,4145120000.0,3909920000.0,3853920000.0,4183200000.0
000928.XSHE,6685446851.0,6685446851.0,6660313593.0,6572347187.0,6559780557.0,6647746963.0,6823679775.0,6873946293.0,6861379663.0,6748279999.0,6873946293.0,6760846628.0,6760846628.0,7514844393.0,7489711134.0,7426877987.0,7452011246.0,7703343834.0,7728477093.0,7904409905.0
300176.XSHE,14159887200.0,14398048800.0,14284332000.0,14375520000.0,14686632000.0,14584716000.0,15008472000.0,15118970400.0,15587784000.0,15688627200.0,15040656000.0,14649084000.0,14193144000.0,14994525600.0,14965560000.0,14657666400.0,14539658400.0,14469926400.0,14651229600.0,14631919200.0
000837.XSHE,3834341132.0,3903678223.0,3875943387.0,3869009678.0,3903678223.0,3931413060.0,4014617569.0,3966081605.0,3855142260.0,3702600659.0,3737269205.0,3667932114.0,3605528732.0,3910611932.0,3966081605.0,4007683860.0,3973015314.0,3938346769.0,3924479351.0,4070087242.0
002324.XSHE,6462480475.0,6500399472.0,6606030963.0,6343306485.0,6297261989.0,6205172996.0,6197047497.0,6148294501.0,6318929987.0,6175379498.0,6229549494.0,5937031518.0,6031829010.0,6364974483.0,6364974483.0,6348723484.0,6373099982.0,6503107972.0,6421852978.0,6435395477.0
603955.XSHG,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0,3121560000.0
000043.XSHE,6196071555.0,6169393098.0,6136045027.0,6062679271.0,6069348886.0,6049340043.0,6076018500.0,6082688114.0,6002652744.0,5935956602.0,6022661586.0,5922617374.0,5929286988.0,6169393098.0,5989313516.0,6015991972.0,5995983130.0,6062679271.0,6082688114.0,6049340043.0
002444.XSHE,12107289102.0,12322338642.0,12290081211.0,12161051487.0,12021269286.0,12311586165.0,12763190199.0,12644912952.0,12354596073.0,12118041579.0,12300833688.0,11956754424.0,12150299010.0,13494358635.0,13419091296.0,13709408175.0,14139507255.0,13709408175.0,13677150744.0,13773923037.0
002547.XSHE,9723852788.0,9735133360.0,9690011073.0,9701291645.0,9791536218.0,9791536218.0,9802816790.0,9994586508.0,10005867080.0,10017147652.0,10028428224.0,10039708795.0,10254039657.0,10265320229.0,10265320229.0,10310442516.0,10366845374.0,10378125946.0,10378125946.0,10378125946.0
002718.XSHE,4137977657.0,4116069685.0,4065243192.0,4070501105.0,4143235570.0,4166019860.0,4228238500.0,4170401455.0,4138853976.0,4136225019.0,4164267223.0,4077511656.0,4031066756.0,4299220327.0,4296591371.0,4425410243.0,4447318215.0,4424533924.0,4434173432.0,4471855143.0
600716.XSHG,4567975679.0,4680302950.0,4736466585.0,4708384768.0,4801990827.0,4839433250.0,4755187797.0,4839433250.0,4858154462.0,4745827191.0,4736466585.0,4614778709.0,4455648408.0,4689663556.0,4755187797.0,4324599926.0,4333960532.0,4390124167.0,4399484773.0,4521172650.0
002528.XSHE,5388778488.0,5503878611.0,5441096726.0,5388778488.0,4896987053.0,4813277873.0,4991159881.0,5033014472.0,4917914349.0,4876059758.0,4855132463.0,4750495988.0,4729568693.0,5095796357.0,4991159881.0,5137650947.0,5074869062.0,4980696234.0,5001623529.0,5074869062.0
603239.XSHG,4461465600.0,4431686400.0,4380249600.0,4420857600.0,4447929600.0,4475001600.0,4480416000.0,4567046400.0,4277376000.0,4261132800.0,4312569600.0,4188038400.0,4255718400.0,4426272000.0,4393785600.0,4412736000.0,4385664000.0,4385664000.0,4439808000.0,4553510400.0
000822.XSHE,7259195520.0,7384508390.0,7294999197.0,7080177135.0,6784796799.0,6623680252.0,6829551395.0,6784796799.0,6802698638.0,6614729333.0,6731091284.0,6596827495.0,6569974737.0,7277097358.0,7241293681.0,7321851955.0,7384508390.0,7366606551.0,7465066663.0,7670937806.0
002008.XSHE,58795295000.0,58795295000.0,58133714548.0,56554457985.0,56607811247.0,58155055853.0,58304444987.0,58368468902.0,56447751461.0,56447751461.0,58517858036.0,57461463443.0,55754159051.0,57461463443.0,60331868952.0,60844060270.0,60716012441.0,60716012441.0,61879113558.0,62231245088.0
300632.XSHE,2468856000.0,2522124000.0,2465382000.0,2441064000.0,2456118000.0,2568444000.0,2444538000.0,2426010000.0,2357688000.0,2304420000.0,2309052000.0,2217570000.0,2163144000.0,2404008000.0,2356530000.0,2394744000.0,2358846000.0,2293998000.0,2277786000.0,2402850000.0
