datetime, portfolio_type, cash, portfolio_value, pnl, daily_pnl, market_value, transaction_cost
20120104, Stock, 5738.16, 99350.16, -649.84, 0, 93612.00, 25.00
20120105, Stock, 24719.47, 98404.47, -1595.53, 0, 73685.00, 48.85
20120106, Stock, 13456.12, 98607.12, -1392.88, 0, 85151.00, 43.96
20120109, Stock, 1230.83, 101668.83, 1668.83, 0, 100438.00, 18.41
20120110, Stock, 1230.83, 105030.83, 5030.83, 0, 103800.00, 0
20120111, Stock, 1230.83, 104158.83, 4158.83, 0, 102928.00, 0
20120112, Stock, 1230.83, 104682.83, 4682.83, 0, 103452.00, 0
20120113, Stock, 311.17, 101027.17, 1027.17, 0, 100716.00, 47.39
20120116, Stock, 311.17, 98752.17, -1247.83, 0, 98441.00, 0
20120117, Stock, 311.17, 104616.17, 4616.17, 0, 104305.00, 0
20120118, Stock, 311.17, 103039.17, 3039.17, 0, 102728.00, 0
20120119, Stock, 311.17, 104836.17, 4836.17, 0, 104525.00, 0
20120120, Stock, 311.17, 106775.17, 6775.17, 0, 106464.00, 0
20120130, Stock, 311.17, 105165.17, 5165.17, 0, 104854.00, 0
20120131, Stock, 311.17, 106150.17, 6150.17, 0, 105839.00, 0
20120201, Stock, 311.17, 105093.17, 5093.17, 0, 104782.00, 0
20120202, Stock, 311.17, 106827.17, 6827.17, 0, 106516.00, 0
20120203, Stock, 311.17, 107690.17, 7690.17, 0, 107379.00, 0
20120206, Stock, 311.17, 107206.17, 7206.17, 0, 106895.00, 0
20120207, Stock, 311.17, 105139.17, 5139.17, 0, 104828.00, 0
20120208, Stock, 311.17, 108095.17, 8095.17, 0, 107784.00, 0
20120209, Stock, 311.17, 110246.17, 10246.17, 0, 109935.00, 0
20120210, Stock, 311.17, 111898.17, 11898.17, 0, 111587.00, 0
20120213, Stock, 311.17, 111126.17, 11126.17, 0, 110815.00, 0
20120214, Stock, 311.17, 112490.17, 12490.17, 0, 112179.00, 0
20120215, Stock, 311.17, 113414.17, 13414.17, 0, 113103.00, 0
20120216, Stock, 311.17, 113024.17, 13024.17, 0, 112713.00, 0
20120217, Stock, 311.17, 112768.17, 12768.17, 0, 112457.00, 0
20120220, Stock, 311.17, 113601.17, 13601.17, 0, 113290.00, 0
20120221, Stock, 311.17, 116056.17, 16056.17, 0, 115745.00, 0
20120222, Stock, 311.17, 119942.17, 19942.17, 0, 119631.00, 0
20120223, Stock, 311.17, 120262.17, 20262.17, 0, 119951.00, 0
20120224, Stock, 311.17, 123317.17, 23317.17, 0, 123006.00, 0
20120227, Stock, 311.17, 123285.17, 23285.17, 0, 122974.00, 0
20120228, Stock, 311.17, 123746.17, 23746.17, 0, 123435.00, 0
20120229, Stock, 311.17, 120695.17, 20695.17, 0, 120384.00, 0
20120301, Stock, 311.17, 121846.17, 21846.17, 0, 121535.00, 0
20120302, Stock, 311.17, 126012.17, 26012.17, 0, 125701.00, 0
20120305, Stock, 311.17, 125924.17, 25924.17, 0, 125613.00, 0
20120306, Stock, 311.17, 124437.17, 24437.17, 0, 124126.00, 0
20120307, Stock, 311.17, 122723.17, 22723.17, 0, 122412.00, 0
20120308, Stock, 311.17, 123770.17, 23770.17, 0, 123459.00, 0
20120309, Stock, 311.17, 124402.17, 24402.17, 0, 124091.00, 0
20120312, Stock, 311.17, 123553.17, 23553.17, 0, 123242.00, 0
20120313, Stock, 311.17, 124853.17, 24853.17, 0, 124542.00, 0
20120314, Stock, 311.17, 118567.17, 18567.17, 0, 118256.00, 0
20120315, Stock, 311.17, 114785.17, 14785.17, 0, 114474.00, 0
20120316, Stock, 311.17, 117453.17, 17453.17, 0, 117142.00, 0
20120319, Stock, 311.17, 118601.17, 18601.17, 0, 118290.00, 0
20120320, Stock, 311.17, 116585.17, 16585.17, 0, 116274.00, 0
20120321, Stock, 311.17, 117728.17, 17728.17, 0, 117417.00, 0
20120322, Stock, 12007.33, 118064.33, 18064.33, 0, 106057.00, 60.06
20120323, Stock, 14654.68, 114787.68, 14787.68, 0, 100133.00, 57.37
20120326, Stock, 4189.61, 115129.61, 15129.61, 0, 110940.00, 38.26
20120327, Stock, 4189.61, 115075.61, 15075.61, 0, 110886.00, 0
20120328, Stock, 3481.11, 110891.11, 10891.11, 0, 107410.00, 5.00
20120329, Stock, 7429.90, 110529.90, 10529.90, 0, 103100.00, 46.27
20120330, Stock, 12855.97, 111495.97, 11495.97, 0, 98640.00, 32.74
20120405, Stock, 14954.51, 114169.51, 14169.51, 0, 99215.00, 14.00
20120406, Stock, 5411.12, 114430.12, 14430.12, 0, 109019.00, 10.72
20120409, Stock, 4871.57, 113998.57, 13998.57, 0, 109127.00, 11.36
20120410, Stock, 4871.57, 116096.57, 16096.57, 0, 111225.00, 0
20120411, Stock, 4871.57, 117370.57, 17370.57, 0, 112189.00, 0
20120412, Stock, 4871.57, 119263.57, 19263.57, 0, 114082.00, 0
20120413, Stock, 5274.11, 120647.11, 20647.11, 0, 115063.00, 5.41
20120416, Stock, 5274.11, 120911.11, 20911.11, 0, 115327.00, 0
20120417, Stock, 8331.35, 119193.35, 19193.35, 0, 110862.00, 48.32
20120418, Stock, 36474.81, 122052.81, 22052.81, 0, 85578.00, 34.94
20120419, Stock, 14639.08, 121659.08, 21659.08, 0, 107020.00, 10.14
20120420, Stock, 14639.08, 124434.08, 24434.08, 0, 109795.00, 0
20120423, Stock, 14639.08, 124712.08, 24712.08, 0, 110073.00, 0
20120424, Stock, 14639.08, 126157.08, 26157.08, 0, 111518.00, 0
20120425, Stock, 14639.08, 127701.08, 27701.08, 0, 113062.00, 0
20120426, Stock, 14639.08, 127059.08, 27059.08, 0, 112420.00, 0
20120427, Stock, 14639.08, 124252.08, 24252.08, 0, 109613.00, 0
20120502, Stock, 14639.08, 127347.08, 27347.08, 0, 112708.00, 0
20120503, Stock, 14639.08, 127802.08, 27802.08, 0, 113163.00, 0
20120504, Stock, 14639.08, 127749.08, 27749.08, 0, 113110.00, 0
20120507, Stock, 14639.08, 128933.08, 28933.08, 0, 114294.00, 0
20120508, Stock, 14639.08, 128115.08, 28115.08, 0, 113476.00, 0
20120509, Stock, 14639.08, 124262.08, 24262.08, 0, 109623.00, 0
20120510, Stock, 14639.08, 125004.08, 25004.08, 0, 110365.00, 0
20120511, Stock, 14639.08, 123999.08, 23999.08, 0, 109360.00, 0
20120514, Stock, 14639.08, 124007.08, 24007.08, 0, 109368.00, 0
20120515, Stock, 14639.08, 124431.08, 24431.08, 0, 109792.00, 0
20120516, Stock, 14639.08, 122477.08, 22477.08, 0, 107838.00, 0
20120517, Stock, 14639.08, 124778.08, 24778.08, 0, 110139.00, 0
20120518, Stock, 14639.08, 122226.08, 22226.08, 0, 107587.00, 0
20120521, Stock, 14639.08, 122719.08, 22719.08, 0, 108080.00, 0
20120522, Stock, 14639.08, 123618.08, 23618.08, 0, 108979.00, 0
