datetime,order_book_id,symbol,last_price,quantity,avg_price,market_value,pnl,transaction_cost
20120104,601898.XSHG,中煤能源,8.56,2200,8.63,18832,-160.49,5.00
20120104,000886.XSHE,海南高速,3.08,6100,3.10,18788,-93.94,5.00
20120104,000926.XSHE,福星股份,6.81,2700,6.84,18387,-91.935,5.00
20120104,000900.XSHE,现代投资,12.57,1500,12.63,18855,-94.275,5.00
20120104,600219.XSHG,南山铝业,6.25,3000,6.31,18750,-184.2,5.00
20120105,601898.XSHG,中煤能源,8.54,0,8.63,0,0,28.80
20120105,600219.XSHG,南山铝业,6.21,3000,6.31,18630,-304.2,5.00
20120105,600987.XSHG,航民股份,5.39,1400,5.43,7546,-51.8,5.00
20120105,000886.XSHE,海南高速,3.05,2800,3.10,8540,-127.12,20.05
20120105,000926.XSHE,福星股份,6.87,2700,6.84,18549,70.065,5.00
20120105,000900.XSHE,现代投资,12.12,1500,12.63,18180,-769.275,5.00
20120105,600159.XSHG,大龙地产,3.20,700,3.18,2240,16.94,5.00
20120106,600219.XSHG,南山铝业,6.34,0,6.31,0,0,28.87
20120106,600684.XSHG,珠江实业,6.86,2700,6.93,18522,-201.15,5.00
20120106,600987.XSHG,航民股份,5.49,1400,5.43,7686,88.2,5.00
20120106,000886.XSHE,海南高速,3.03,1100,3.10,3333,-71.94,30.14
20120106,000926.XSHE,福星股份,6.98,2700,6.84,18846,367.065,5.00
20120106,000900.XSHE,现代投资,12.02,1500,12.63,18030,-919.275,5.00
20120106,600159.XSHG,大龙地产,3.23,5800,3.22,18734,58.085,10.00
20120109,600684.XSHG,珠江实业,7.11,2700,6.93,19197,473.85,5.00
20120109,600987.XSHG,航民股份,5.69,1900,5.50,10811,359,10.00
20120109,002440.XSHE,闰土股份,15.87,800,15.96,12696,-71.52,5.00
20120109,000886.XSHE,海南高速,3.14,0,3.10,0,0,38.55
20120109,000926.XSHE,福星股份,7.22,2700,6.84,19494,1015.065,5.00
20120109,000900.XSHE,现代投资,12.54,1500,12.63,18810,-139.275,5.00
20120109,600159.XSHG,大龙地产,3.35,5800,3.22,19430,754.085,10.00
20120110,600684.XSHG,珠江实业,7.40,2700,6.93,19980,1256.85,5.00
20120110,600987.XSHG,航民股份,5.87,1900,5.50,11153,701,10.00
20120110,002440.XSHE,闰土股份,16.45,800,15.96,13160,392.48,5.00
20120110,000926.XSHE,福星股份,7.40,2700,6.84,19980,1501.065,5.00
20120110,000900.XSHE,现代投资,13.05,1500,12.63,19575,625.725,5.00
20120110,600159.XSHG,大龙地产,3.44,5800,3.22,19952,1276.085,10.00
20120111,600684.XSHG,珠江实业,7.36,2700,6.93,19872,1148.85,5.00
20120111,600987.XSHG,航民股份,5.84,1900,5.50,11096,644,10.00
20120111,002440.XSHE,闰土股份,16.49,800,15.96,13192,424.48,5.00
20120111,000926.XSHE,福星股份,7.29,2700,6.84,19683,1204.065,5.00
20120111,000900.XSHE,现代投资,12.91,1500,12.63,19365,415.725,5.00
20120111,600159.XSHG,大龙地产,3.40,5800,3.22,19720,1044.085,10.00
20120112,600684.XSHG,珠江实业,7.50,2700,6.93,20250,1526.85,5.00
20120112,600987.XSHG,航民股份,5.84,1900,5.50,11096,644,10.00
20120112,002440.XSHE,闰土股份,16.47,800,15.96,13176,408.48,5.00
20120112,000926.XSHE,福星股份,7.30,2700,6.84,19710,1231.065,5.00
20120112,000900.XSHE,现代投资,13.00,1500,12.63,19500,550.725,5.00
20120112,600159.XSHG,大龙地产,3.40,5800,3.22,19720,1044.085,10.00
20120113,600219.XSHG,南山铝业,6.64,2100,6.72,13944,-175.245,5.00
20120113,600684.XSHG,珠江实业,7.25,0,6.93,0,0,29.64
20120113,600987.XSHG,航民股份,5.62,1700,5.50,9554,202.21052632,16.12
20120113,002440.XSHE,闰土股份,15.70,800,15.96,12560,-207.52,5.00
20120113,000926.XSHE,福星股份,6.97,4000,6.91,27880,255.565,10.00
20120113,000900.XSHE,现代投资,13.00,1500,12.63,19500,550.725,5.00
20120113,600159.XSHG,大龙地产,3.26,5300,3.22,17278,212.07767241,16.63
20120116,600219.XSHG,南山铝业,6.55,2100,6.72,13755,-364.245,5.00
20120116,600987.XSHG,航民股份,5.54,1700,5.50,9418,66.21052632,16.12
20120116,002440.XSHE,闰土股份,15.26,800,15.96,12208,-559.52,5.00
20120116,000926.XSHE,福星股份,6.80,4000,6.91,27200,-424.435,10.00
20120116,000900.XSHE,现代投资,12.60,1500,12.63,18900,-49.275,5.00
20120116,600159.XSHG,大龙地产,3.20,5300,3.22,16960,-105.92232759,16.63
20120117,600219.XSHG,南山铝业,7.21,2100,6.72,15141,1021.755,5.00
20120117,600987.XSHG,航民股份,5.85,1700,5.50,9945,593.21052632,16.12
20120117,002440.XSHE,闰土股份,16.26,800,15.96,13008,240.48,5.00
20120117,000926.XSHE,福星股份,7.13,4000,6.91,28520,895.565,10.00
20120117,000900.XSHE,现代投资,13.22,1500,12.63,19830,880.725,5.00
20120117,600159.XSHG,大龙地产,3.37,5300,3.22,17861,795.07767241,16.63
20120118,600219.XSHG,南山铝业,7.12,2100,6.72,14952,832.755,5.00
20120118,600987.XSHG,航民股份,5.76,1700,5.50,9792,440.21052632,16.12
20120118,002440.XSHE,闰土股份,16.18,800,15.96,12944,176.48,5.00
20120118,000926.XSHE,福星股份,7.05,4000,6.91,28200,575.565,10.00
20120118,000900.XSHE,现代投资,12.90,1500,12.63,19350,400.725,5.00
20120118,600159.XSHG,大龙地产,3.30,5300,3.22,17490,424.07767241,16.63
20120119,600219.XSHG,南山铝业,7.24,2100,6.72,15204,1084.755,5.00
20120119,600987.XSHG,航民股份,5.93,1700,5.50,10081,729.21052632,16.12
