datetime,order_book_id,symbol,side,last_quantity,last_price,transaction_cost
2012-01-04 14:50:00,000886.XSHE,海南高速,BUY,6100,3.10,5.00
2012-01-04 14:50:00,000900.XSHE,现代投资,BUY,1500,12.63,5.00
2012-01-04 14:50:00,000926.XSHE,福星股份,BUY,2700,6.84,5.00
2012-01-04 14:50:00,600219.XSHG,南山铝业,BUY,3000,6.31,5.00
2012-01-04 14:50:00,601898.XSHG,中煤能源,BUY,2200,8.63,5.00
2012-01-05 14:50:00,000886.XSHE,海南高速,SELL,3300,3.04,15.05
2012-01-05 14:50:00,601898.XSHG,中煤能源,SELL,2200,8.55,23.80
2012-01-05 14:50:00,600987.XSHG,航民股份,BUY,1400,5.43,5.00
2012-01-05 14:50:00,600159.XSHG,大龙地产,BUY,700,3.18,5.00
2012-01-06 14:50:00,000886.XSHE,海南高速,SELL,1700,2.99,10.09
2012-01-06 14:50:00,600219.XSHG,南山铝业,SELL,3000,6.29,23.87
2012-01-06 14:50:00,600684.XSHG,珠江实业,BUY,2700,6.93,5.00
2012-01-06 14:50:00,600159.XSHG,大龙地产,BUY,5100,3.23,5.00
2012-01-09 14:50:00,000886.XSHE,海南高速,SELL,1100,3.10,8.41
2012-01-09 14:50:00,600987.XSHG,航民股份,BUY,500,5.71,5.00
2012-01-09 14:50:00,002440.XSHE,闰土股份,BUY,800,15.96,5.00
2012-01-13 14:50:00,600159.XSHG,大龙地产,SELL,500,3.26,6.63
2012-01-13 14:50:00,600684.XSHG,珠江实业,SELL,2700,7.27,24.64
2012-01-13 14:50:00,600987.XSHG,航民股份,SELL,200,5.61,6.12
2012-01-13 14:50:00,000926.XSHE,福星股份,BUY,1300,7.04,5.00
2012-01-13 14:50:00,600219.XSHG,南山铝业,BUY,2100,6.72,5.00
2012-03-22 14:50:00,002440.XSHE,闰土股份,SELL,300,18.03,10.41
2012-03-22 14:50:00,600159.XSHG,大龙地产,SELL,5300,3.78,25.04
2012-03-22 14:50:00,600987.XSHG,航民股份,SELL,1500,6.32,14.48
2012-03-22 14:50:00,000926.XSHE,福星股份,BUY,200,8.91,5.00
2012-03-22 14:50:00,600219.XSHG,南山铝业,BUY,2800,7.64,5.13
2012-03-23 14:50:00,002440.XSHE,闰土股份,SELL,500,17.53,13.77
2012-03-23 14:50:00,600987.XSHG,航民股份,SELL,200,6.20,6.24
2012-03-23 14:50:00,000900.XSHE,现代投资,BUY,400,13.71,5.00
2012-03-23 14:50:00,000926.XSHE,福星股份,SELL,1000,8.51,13.51
2012-03-23 14:50:00,600270.XSHG,外运发展,BUY,2700,7.11,5.00
2012-03-23 14:50:00,600219.XSHG,南山铝业,SELL,1200,7.38,13.86
